FrameCount, Within Perception?, Within Eating Distance?, Action
353,0,0,follow
354,0,0,follow
355,0,0,follow
356,0,0,follow
357,0,0,follow
358,0,0,follow
359,0,0,follow
360,0,0,follow
361,0,0,follow
362,0,0,follow
363,0,0,follow
364,0,0,follow
365,0,0,follow
366,0,0,follow
367,0,0,follow
368,0,0,follow
369,0,0,follow
370,0,0,follow
371,0,0,follow
372,0,0,follow
373,0,0,follow
374,0,0,follow
375,0,0,follow
376,0,0,follow
377,0,0,follow
378,0,0,follow
379,0,0,follow
380,0,0,follow
381,0,0,follow
382,0,0,follow
383,0,0,follow
384,0,0,follow
385,0,0,follow
386,0,0,follow
387,0,0,follow
388,0,0,follow
389,0,0,follow
390,0,0,follow
391,0,0,follow
392,0,0,follow
393,0,0,follow
394,0,0,follow
395,0,0,follow
396,0,0,follow
397,0,0,follow
398,0,0,follow
399,0,0,follow
400,0,0,follow
401,0,0,follow
402,0,0,follow
403,0,0,follow
404,0,0,follow
405,0,0,follow
406,0,0,follow
407,0,0,follow
408,0,0,follow
409,0,0,follow
410,0,0,follow
411,0,0,follow
412,0,0,follow
413,0,0,follow
414,0,0,follow
415,0,0,follow
416,0,0,follow
417,0,0,follow
418,0,0,follow
419,0,0,follow
420,0,0,follow
421,0,0,follow
422,0,0,follow
423,0,0,follow
424,0,0,follow
425,0,0,follow
426,0,0,follow
427,0,0,follow
428,0,0,follow
429,0,0,follow
430,0,0,follow
431,0,0,follow
432,0,0,follow
433,0,0,follow
434,0,0,follow
435,0,0,follow
436,0,0,follow
437,0,0,follow
438,0,0,follow
439,0,0,follow
440,0,0,follow
441,0,0,follow
442,0,0,follow
443,0,0,follow
444,0,0,follow
445,0,0,follow
446,0,0,follow
447,0,0,follow
448,0,0,follow
449,0,0,follow
450,0,0,follow
451,0,0,follow
452,0,0,follow
453,0,0,follow
454,0,0,follow
455,0,0,follow
456,0,0,follow
457,0,0,follow
458,0,0,follow
459,0,0,follow
460,0,0,follow
461,0,0,follow
462,0,0,follow
463,0,0,follow
464,0,0,follow
465,0,0,follow
466,0,0,follow
467,0,0,follow
468,0,0,follow
469,0,0,follow
470,0,0,follow
471,0,0,follow
472,0,0,follow
473,0,0,follow
474,0,0,follow
475,0,0,follow
476,0,0,follow
477,0,0,follow
478,0,0,follow
479,0,0,follow
480,0,0,follow
481,0,0,follow
482,0,0,follow
483,0,0,follow
484,0,0,follow
485,0,0,follow
486,0,0,follow
487,0,0,follow
488,0,0,follow
489,0,0,follow
490,0,0,follow
491,0,0,follow
492,0,0,follow
493,0,0,follow
494,0,0,follow
495,1,0,follow
496,1,0,chase
497,1,0,chase
498,1,0,chase
499,1,0,chase
500,1,0,chase
501,1,0,chase
502,1,0,chase
503,1,0,chase
504,1,0,chase
505,1,0,chase
506,1,0,chase
507,1,0,chase
508,1,0,chase
509,1,0,chase
510,1,0,chase
511,1,0,chase
512,1,0,chase
513,1,0,chase
514,1,0,chase
515,1,0,chase
516,1,0,chase
517,1,0,chase
518,1,0,chase
519,1,0,chase
520,1,0,chase
521,1,0,chase
522,1,0,chase
523,1,0,chase
524,1,0,chase
525,1,0,chase
526,1,0,chase
527,1,0,chase
528,1,1,eat
529,0,0,follow
530,0,0,follow
531,0,0,follow
532,0,0,follow
533,0,0,follow
534,0,0,follow
535,0,0,follow
536,0,0,follow
537,0,0,follow
538,0,0,follow
539,0,0,follow
540,0,0,follow
541,0,0,follow
542,0,0,follow
543,0,0,follow
544,0,0,follow
545,0,0,follow
546,0,0,follow
547,0,0,follow
548,0,0,follow
549,0,0,follow
550,0,0,follow
551,0,0,follow
552,0,0,follow
553,0,0,follow
554,0,0,follow
555,0,0,follow
556,0,0,follow
557,0,0,follow
558,0,0,follow
559,0,0,follow
560,0,0,follow
561,0,0,follow
562,0,0,follow
563,0,0,follow
564,0,0,follow
565,0,0,follow
566,0,0,follow
567,0,0,follow
568,0,0,follow
569,0,0,follow
570,0,0,follow
571,0,0,follow
572,0,0,follow
573,0,0,follow
574,0,0,follow
575,0,0,follow
576,0,0,follow
577,0,0,follow
578,0,0,follow
579,0,0,follow
580,0,0,follow
581,0,0,follow
582,0,0,follow
583,0,0,follow
584,0,0,follow
585,0,0,follow
586,0,0,follow
587,0,0,follow
588,0,0,follow
589,0,0,follow
590,0,0,follow
591,0,0,follow
592,0,0,follow
593,0,0,follow
594,0,0,follow
595,0,0,follow
596,0,0,follow
597,0,0,follow
598,0,0,follow
599,0,0,follow
600,0,0,follow
601,0,0,follow
602,0,0,follow
603,0,0,follow
604,0,0,follow
605,0,0,follow
606,0,0,follow
607,0,0,follow
608,0,0,follow
609,0,0,follow
610,0,0,follow
611,0,0,follow
612,0,0,follow
613,0,0,follow
614,0,0,follow
615,0,0,follow
616,0,0,follow
617,0,0,follow
618,0,0,follow
619,0,0,follow
620,0,0,follow
621,0,0,follow
622,0,0,follow
623,0,0,follow
624,0,0,follow
625,0,0,follow
626,0,0,follow
627,0,0,follow
628,0,0,follow
629,0,0,follow
630,0,0,follow
631,0,0,follow
632,0,0,follow
633,0,0,follow
634,0,0,follow
635,0,0,follow
636,0,0,follow
637,0,0,follow
638,0,0,follow
639,0,0,follow
640,0,0,follow
641,0,0,follow
642,0,0,follow
643,0,0,follow
644,0,0,follow
645,0,0,follow
646,0,0,follow
647,0,0,follow
648,0,0,follow
649,0,0,follow
650,0,0,follow
651,0,0,follow
652,0,0,follow
653,0,0,follow
654,0,0,follow
655,0,0,follow
656,0,0,follow
657,0,0,follow
658,0,0,follow
659,0,0,follow
660,0,0,follow
661,0,0,follow
662,0,0,follow
663,0,0,follow
664,0,0,follow
665,0,0,follow
666,0,0,follow
667,0,0,follow
668,0,0,follow
669,0,0,follow
670,0,0,follow
671,0,0,follow
672,0,0,follow
673,0,0,follow
674,0,0,follow
675,0,0,follow
676,0,0,follow
677,0,0,follow
678,0,0,follow
679,0,0,follow
680,0,0,follow
681,0,0,follow
682,0,0,follow
683,0,0,follow
684,0,0,follow
685,0,0,follow
686,0,0,follow
687,0,0,follow
688,0,0,follow
689,0,0,follow
690,0,0,follow
691,0,0,follow
692,0,0,follow
693,0,0,follow
694,0,0,follow
695,0,0,follow
696,0,0,follow
697,0,0,follow
698,0,0,follow
699,0,0,follow
700,0,0,follow
701,0,0,follow
702,0,0,follow
703,0,0,follow
704,0,0,follow
705,0,0,follow
706,0,0,follow
707,0,0,follow
